id,class,score,label
5627.0,0.0,0.5474718322121024,1.0
9220.0,2.0,0.25990793366281073,0.0
2655.0,0.0,0.38836391010728694,0.0
9081.0,6.0,0.5303717241631354,1.0
644.0,0.0,0.7214653930963386,1.0
93.0,0.0,0.5006658096557168,1.0
9224.0,2.0,0.20622621767045973,0.0
5754.0,0.0,0.5337047480615426,1.0
3290.0,0.0,0.354202159244006,0.0
6760.0,0.0,0.584672688413947,1.0
10194.0,0.0,0.5486037473161394,1.0
3785.0,2.0,0.397584424635667,0.0
2817.0,2.0,0.6798691331950102,1.0
379.0,5.0,0.3260109242751137,0.0
569.0,1.0,0.24514950806508648,0.0
8196.0,2.0,0.5228138174378323,1.0
10680.0,0.0,0.4097500209897193,0.0
8452.0,2.0,0.3672967698841573,0.0
9552.0,4.0,0.28524195364540506,0.0
849.0,0.0,0.345641855794674,0.0
5654.0,0.0,0.2779145711415143,0.0
2539.0,1.0,0.5296286362595115,1.0
10379.0,0.0,0.5347604858963467,1.0
6304.0,0.0,0.6822556221393167,1.0
9125.0,2.0,0.20610512326984542,0.0
6525.0,2.0,0.18404689978856473,0.0
7472.0,2.0,0.07897563284047278,0.0
3218.0,6.0,0.18744028141365027,0.0
5137.0,1.0,0.23422108557503324,0.0
4409.0,2.0,0.9008668667481652,1.0
6149.0,0.0,0.4625733567592542,0.0
6129.0,0.0,0.2611429562939231,0.0
6236.0,6.0,0.1315114024627444,0.0
8774.0,2.0,0.3664085152077155,0.0
7508.0,4.0,0.31461574117919233,0.0
3250.0,2.0,0.21316291599193313,0.0
5691.0,2.0,0.372602678310712,0.0
3287.0,0.0,0.7332192079290288,1.0
654.0,2.0,0.27391555512841065,0.0
853.0,0.0,0.27438297732205763,0.0
3502.0,4.0,0.32006476515805915,0.0
691.0,0.0,0.5158080288974447,1.0
4205.0,3.0,0.3009081712401167,0.0
5960.0,2.0,0.1558450147632494,0.0
10168.0,2.0,0.17534016361676313,0.0
5219.0,3.0,0.6673740753489816,1.0
2467.0,0.0,0.44291556592757547,0.0
6160.0,0.0,0.5715833169416641,1.0
3671.0,2.0,0.26274839002971934,0.0
1849.0,0.0,0.5907051255297043,1.0
6968.0,0.0,0.6795207037065055,1.0
6593.0,0.0,0.10871356724315287,0.0
4081.0,2.0,0.4045588470339825,0.0
6591.0,1.0,0.054401556543271286,0.0
668.0,4.0,0.28463473945545203,0.0
1864.0,0.0,0.2800949883845825,0.0
7189.0,2.0,0.3902809877790195,0.0
7192.0,7.0,0.01506225189215127,0.0
2835.0,2.0,0.7450178207964061,1.0
7661.0,3.0,0.9941242962355418,1.0
7595.0,5.0,0.25443115612959655,0.0
7218.0,0.0,0.30006887579283187,0.0
9527.0,0.0,0.21428581678470182,0.0
2400.0,0.0,0.7387478980316269,1.0
4500.0,0.0,0.4118961488693348,0.0
2383.0,6.0,0.2621179774444178,0.0
2927.0,0.0,0.4975272510890869,0.0
10237.0,2.0,0.6215604022850072,1.0
5617.0,2.0,0.16089080230437636,0.0
6259.0,2.0,0.2158015724706154,0.0
6285.0,3.0,0.36608794159959435,0.0
9626.0,0.0,0.5439794278739623,1.0
41.0,2.0,0.8330612341869573,1.0
7060.0,1.0,0.7438192968141716,1.0
2290.0,0.0,0.3069856191585466,0.0
2582.0,2.0,0.3638649335516562,0.0
8237.0,4.0,0.194258547324812,0.0
8681.0,0.0,0.6642958877292385,1.0
6081.0,3.0,0.5035647257165836,1.0
9087.0,2.0,0.157239066278239,0.0
7765.0,4.0,0.4363232036575663,0.0
5797.0,4.0,0.6509177960346164,1.0
8231.0,0.0,0.31106626094521983,0.0
9972.0,0.0,0.24638658966335816,0.0
2062.0,0.0,0.205157185554309,0.0
1770.0,0.0,0.39477276984249215,0.0
5153.0,0.0,0.8664743468065739,1.0
10499.0,3.0,0.8606061190259546,1.0
9247.0,0.0,0.314791458680662,0.0
4809.0,3.0,0.6940987020466809,1.0
3673.0,6.0,0.20809230307538462,0.0
3917.0,0.0,0.38909774415024195,0.0
8503.0,0.0,0.24415741844162592,0.0
2502.0,4.0,0.1965180027536706,0.0
6019.0,2.0,0.4374127963529259,0.0
2183.0,0.0,0.21603480196656755,0.0
5576.0,6.0,0.6540950506815851,1.0
8207.0,2.0,0.3603336161357222,0.0
6391.0,0.0,0.5657531565928481,1.0
3693.0,0.0,0.32554331458913827,0.0
3611.0,2.0,0.5656904061504062,1.0
1819.0,6.0,0.7643346095324168,1.0
1153.0,3.0,0.4946466232056534,0.0
1538.0,2.0,0.4541447048673568,0.0
5789.0,5.0,0.26676604610547855,0.0
4317.0,0.0,0.46609528925279897,0.0
9248.0,0.0,0.6215194828978511,1.0
864.0,4.0,0.5563280136372488,1.0
2758.0,0.0,0.3294312673830157,0.0
8819.0,7.0,0.12930377503042734,0.0
